      f V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20
1     1  1  2  2  2 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
2     2  1  2  2  2  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
3     3  1  2  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
4     4  1  2  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
5     5  1  2  2  2  2 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
6     6  1  2  2  2  2  2  2  2  2   2  0  0  0  0  0  0  0  0  0  0
7     7  1  1  1  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
8     8  1  2 0 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
9     9  1  2  2  2  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
10   10  1  2  2 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
11   11  1  2  2  2  2  2  2  2  2   3   3   3  0  0  0  0  0  0  0  0
12   12  1  2  2 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
13   13  1  1 0 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
14   14  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
15   15  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
16   16  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
17   17  1  2  2  2 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
18   18  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
19   19  1  2  2  2  2  2  2  2  3   3   3   3   3   3   3   3   3   3  0  0
20   20  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
21   21  1  1  1  1  2  2  2  2  2   2   2   2   2   2   3   3   3   3   3   4
22   22  1  1  2  2  2  2  2  2  2   2   3   3   3   3   3   3   3   3   4  0
23   23  1  1  2  2  2  2  2  2  2   3   3   3   3   3   3   3   3   3   4  0
24   24  1  1  1  1  2  2  2  2  2   2   2   2  0  0  0  0  0  0  0  0
25   25  1  1  1  2  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
26   26  1  1  2  2  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
27   27  1  1  1  1  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
28   28  1  1  1  1  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
