Mois	date	jour_99	sem_99	pluvio	TAmin	TAmax	TCmin	TCmax
avril	19	lundi	16	0	22	27	20	25
avril	20	mardi	16	0	20	25	21	24
avril	21	mercredi	16	0	21	24	19	23
avril	22	jeudi	16	8	14	27	19	24
avril	23	vendredi	16	22.5	15	22	19	21
avril	24	samedi	16	5	19	20	20	22
avril	25	dimanche	16	27.5	14	18	19	19
avril	26	lundi	17	0	18	22	20	23
avril	27	mardi	17	0	15	20	18	24
avril	28	mercredi	17	22.5	15	24	20	21
avril	29	jeudi	17	17.5	14	26	20	24
avril	30	vendredi	17	12.5	14	25	14	25
mai	1	samedi	17	0	14	26	15	22
mai	2	dimanche	17	0	14	26	21	25
mai	3	lundi	18	22.5	15	21	19	19
mai	4	mardi	18	10	15	20	18	20
mai	5	mercredi	18	0	19	20	19	20
mai	6	jeudi	18	0	17	21	20	21
mai	7	vendredi	18	15	16	21	20	21  
mai	8	samedi	18	12.5	14	20	20	20
mai	9	dimanche	18	4	18	19	19	23
mai	10	lundi	19	0	19	20	16	22
mai	11	mardi	19	0	16	18	20	21
mai	12	mercredi	19	0	15	19	19	20
mai	13	jeudi	19	8	14	16	17	19
mai	14	vendredi	19	0	20	23	19	19
mai	15	samedi	19	0	16	20	18	22
mai	16	dimanche	19	0	19	20	23	23
mai	17	lundi	20	0	14	18	19	20
mai	18	mardi	20	15	15	21	17	21
mai	19	mercredi	20	0	18	20	18	22
mai	20	jeudi	20	0	16	24	20	24
mai	21	vendredi	20	22.5	14	20	19	21
mai	22	samedi	20	0	15	20	16	20
mai	23	dimanche	20	0	13	20	19	25
mai	24	lundi	21	0	18	20	19	17
mai	25	mardi	21	0	21	21	19	24
mai	26	mercredi	21	15	17	22	19	24
mai	27	jeudi	21	0	14	20	22	26
mai	28	vendredi	21	40	14	15	22	19
mai	29	samedi	21	0	15	20	20	20
mai	30	dimanche	21	0	19	21	22	23
mai	31	lundi	22	0	18	19	16	21
juin	1	mardi	22	0	17	26	13	17
juin	2	mercredi	22	9	14	17	19	23
juin	3	jeudi	22	0	14	17	19	20
juin	4	vendredi	22	20	14	21	14	16
juin	5	samedi	22	0	19	20	21	25
juin	6	dimanche	22	0	21	22	21	25
juin	7	lundi	23	0	16	26	20	21
juin	8	mardi	23	0	17	19	20	22
juin	9	mercredi	23	10	21	21	21	22
juin	10	jeudi	23	0	20	20	19	26
juin	11	vendredi	23	30	22	26	23	26
juin	12	samedi	23	0	14	15	19	21
juin	13	dimanche	23	0	25	26	21	22
juin	14	lundi	24	0	21	21	21	22
juin	15	mardi	24	0	21	21	17	22
juin	16	mercredi	24	0	12	20	18	20
juin	17	jeudi	24	5	18	21	20	20
juin	18	vendredi	24	0	16	20	20	20
