          f e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20
1     1  0  0  0  2 NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
2     2  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
3     3  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
4     4  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
5     5  0  0  0  0  1 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
6     6  0  0  0  0  0  0  0  0  0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
7     7  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
8     8  0  2 NA NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
9     9  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
10   10  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
11   11  0  0  0  0  0  0  0  0  0   0   0   1  NA  NA  NA  NA  NA  NA  NA  NA
12   12  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
13   13  0  1 NA NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
14   14  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
15   15  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
16   16  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
17   17  0  0  0  2 NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
18   18  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
19   19  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   1  NA  NA
20   20  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
21   21  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
22   22  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   1  NA
23   23  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   1  NA
24   24  0  0  0  0  0  0  0  0  0   0   0   2  NA  NA  NA  NA  NA  NA  NA  NA
25   25  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
26   26  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
27   27  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
28   28  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
29   29  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
30   30  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
31   31  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
32   34  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
33   35  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
34   36  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   1  NA
